Events	Human	Chimpanzee	#1#	Gorilla	Gibbon
0	791.0	947.0	22558.0	144.0	0.0
1	4053.0	4986.0	34787.0	1064.0	0.0
2	10136.0	11588.0	25042.0	3590.0	0.0
3	16496.0	18011.0	12068.0	8119.0	0.0
4	19769.0	20212.0	4101.0	13340.0	0.0
5	18346.0	17996.0	1136.0	16668.0	0.0
6	13484.0	12435.0	262.0	17616.0	0.0
7	8726.0	7414.0	40.0	14990.0	0.0
8	4704.0	3764.0	5.0	10891.0	0.0
9	2181.0	1713.0	1.0	6865.0	1.0
10	850.0	639.0	0.0	3700.0	2.0
11	332.0	215.0	0.0	1812.0	17.0
12	97.0	56.0	0.0	736.0	44.0
13	31.0	16.0	0.0	333.0	104.0
14	4.0	7.0	0.0	95.0	295.0
15	0.0	1.0	0.0	27.0	649.0
16	0.0	0.0	0.0	7.0	1335.0
17	0.0	0.0	0.0	3.0	2418.0
18	0.0	0.0	0.0	0.0	4390.0
19	0.0	0.0	0.0	0.0	6483.0
20	0.0	0.0	0.0	0.0	8836.0
21	0.0	0.0	0.0	0.0	10941.0
22	0.0	0.0	0.0	0.0	12518.0
23	0.0	0.0	0.0	0.0	12917.0
24	0.0	0.0	0.0	0.0	11835.0
25	0.0	0.0	0.0	0.0	9730.0
26	0.0	0.0	0.0	0.0	7167.0
27	0.0	0.0	0.0	0.0	4783.0
28	0.0	0.0	0.0	0.0	2898.0
29	0.0	0.0	0.0	0.0	1530.0
30	0.0	0.0	0.0	0.0	713.0
31	0.0	0.0	0.0	0.0	258.0
32	0.0	0.0	0.0	0.0	102.0
33	0.0	0.0	0.0	0.0	28.0
34	0.0	0.0	0.0	0.0	5.0
35	0.0	0.0	0.0	0.0	1.0
36	0.0	0.0	0.0	0.0	0.0
37	0.0	0.0	0.0	0.0	0.0
38	0.0	0.0	0.0	0.0	0.0
39	0.0	0.0	0.0	0.0	0.0
