Ortholog family / Human transcript	Gene	Description	Branch-specific % subs per site	Human subs	Chimp subs	Gorilla subs	#1# subs	Gibbon subs	Align overlap	Align Sat	Lower in
ENST00000450565	ADCYAP1	adenylate cyclase activating polypeptide 1 	7.60233918128655	13.0	0.0	0.0	0.0	1.0	171.0	97.1590909090909	Gibbon
ENST00000456023	RNF181	ring finger protein 181 	5.084745762711861	3.0	0.0	0.0	0.0	0.0	59.0	38.56209150326797	
ENST00000301633	BIRC5	baculoviral IAP repeat containing 5 	4.3956043956044	4.0	0.0	1.0	1.0	1.0	91.0	100.0	
ENST00000391916	DACT3	dishevelled binding antagonist of beta catenin 3 	3.88888888888889	7.0	0.0	0.0	0.0	0.0	180.0	99.4475138121547	Gibbon
ENST00000637878	PVALEF	parvalbumin like EF-hand containing 	3.7593984962406	5.0	0.0	0.0	0.0	5.0	133.0	99.25373134328358	
ENST00000008938	PGLYRP1	peptidoglycan recognition protein 1 	3.5714285714285694	7.0	1.0	5.0	0.0	6.0	196.0	100.0	
ENST00000259845	PSORS1C2	psoriasis susceptibility 1 candidate 2 	2.94117647058824	4.0	1.0	1.0	0.0	1.0	136.0	100.0	
ENST00000454136	BTNL2	butyrophilin like 2 	2.88065843621399	7.0	2.0	2.0	1.0	5.0	243.0	89.66789667896678	
ENST00000339686	DMKN	dermokine 	2.59365994236311	9.0	1.0	3.0	0.0	16.0	347.0	74.6236559139785	
ENST00000299705	TMED3	transmembrane p24 trafficking protein 3 	2.47524752475248	5.0	0.0	0.0	0.0	1.0	202.0	93.08755760368663	
ENST00000306869	DCXR	dicarbonyl and L-xylulose reductase 	2.45901639344262	6.0	0.0	1.0	0.0	5.0	244.0	100.0	
ENST00000221403	DHDH	dihydrodiol dehydrogenase 	2.4024024024024	8.0	2.0	0.0	0.0	4.0	333.0	99.7005988023952	
ENST00000643519	BLVRB	biliverdin reductase B 	2.22222222222222	4.0	0.0	1.0	0.0	0.0	180.0	87.37864077669903	
ENST00000323906	CD37	CD37 molecule 	2.15827338129496	6.0	3.0	2.0	0.0	4.0	278.0	98.932384341637	
ENST00000286424	TMBIM4	transmembrane BAX inhibitor motif containing 4 	2.12014134275618	6.0	0.0	0.0	0.0	3.0	283.0	100.0	
