Id	HS	PT	#1#	GG	NL	Events
ENST00000004982	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000010299	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000054666	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000064778	0.88282	0.88854	0.03654000000000002	0.84446	0.42072	1
ENST00000083182	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000084795	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000084798	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000155926	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000158771	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000171111	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000188312	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000202017	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000203630	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000206020	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000211314	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000211998	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000215754	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000216039	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000216101	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000216144	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000216160	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000216297	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000217195	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000217958	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000218056	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000218075	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000218388	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000219197	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000220849	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000221200	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000223864	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000225525	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000225665	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000225688	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000225726	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000225729	0.88282	0.88854	0.03654000000000002	0.84446	0.42072	1
ENST00000226004	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000226225	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000227163	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000227507	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000228347	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000228506	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000229268	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000229314	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000230050	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000231061	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000231454	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000232496	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000232501	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000232564	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000233630	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000234590	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000238714	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000238831	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000239461	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000240100	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000241463	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000242208	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000242784	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000243440	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000243997	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000244669	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000245304	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000245479	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000246151	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000246186	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000246747	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000248150	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000250111	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000250113	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000250535	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000252456	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000252506	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000253047	0.11718000000000006	0.88854	0.96346	0.84446	0.42072	1
ENST00000253413	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000253686	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000254101	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000254250	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000254908	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000255224	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000256261	0.88282	0.88854	0.96346	0.15554	0.42072	1
ENST00000256319	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000256460	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000256722	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000256759	0.88282	0.88854	0.03654000000000002	0.84446	0.42072	1
ENST00000256925	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000257497	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000257572	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000257904	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000258091	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000258198	0.88282	0.11145999999999989	0.96346	0.84446	0.42072	1
ENST00000258412	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000258416	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000258418	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000258646	0.88282	0.88854	0.96346	0.84446	0.57928	1
ENST00000259006	0.88282	0.88854	0.96346	0.15554	0.42072	1
